[2026-01-07 18:04:20.602] [info]    [FILE] System.Net.Quic.dll (260360 bytes)
[2026-01-07 18:04:20.603] [info]    [FILE] System.Net.Requests.dll (321848 bytes)
[2026-01-07 18:04:20.603] [info]    [FILE] System.Net.Security.dll (604432 bytes)
[2026-01-07 18:04:20.604] [info]    [FILE] System.Net.ServicePoint.dll (43320 bytes)
[2026-01-07 18:04:20.605] [info]    [FILE] System.Net.Sockets.dll (481544 bytes)
[2026-01-07 18:04:20.606] [info]    [FILE] System.Net.WebClient.dll (149776 bytes)
[2026-01-07 18:04:20.607] [info]    [FILE] System.Net.WebHeaderCollection.dll (63752 bytes)
[2026-01-07 18:04:20.608] [info]    [FILE] System.Net.WebProxy.dll (43320 bytes)
[2026-01-07 18:04:20.608] [info]    [FILE] System.Net.WebSockets.Client.dll (92424 bytes)
[2026-01-07 18:04:20.609] [info]    [FILE] System.Net.WebSockets.dll (170288 bytes)
[2026-01-07 18:04:20.610] [info]    [FILE] System.Numerics.dll (15664 bytes)
[2026-01-07 18:04:20.610] [info]    [FILE] System.Numerics.Vectors.dll (16144 bytes)
[2026-01-07 18:04:20.611] [info]    [FILE] System.ObjectModel.dll (71984 bytes)
[2026-01-07 18:04:20.611] [info]    [FILE] System.Private.CoreLib.dll (12536072 bytes)
[2026-01-07 18:04:20.612] [info]    [FILE] System.Private.DataContractSerialization.dll (1927432 bytes)
[2026-01-07 18:04:20.613] [info]    [FILE] System.Private.Uri.dll (248080 bytes)
[2026-01-07 18:04:20.613] [info]    [FILE] System.Private.Xml.dll (7424264 bytes)
[2026-01-07 18:04:20.614] [info]    [FILE] System.Private.Xml.Linq.dll (366856 bytes)
[2026-01-07 18:04:20.614] [info]    [FILE] System.Reflection.DispatchProxy.dll (71944 bytes)
[2026-01-07 18:04:20.615] [info]    [FILE] System.Reflection.dll (16648 bytes)
[2026-01-07 18:04:20.615] [info]    [FILE] System.Reflection.Emit.dll (125232 bytes)
[2026-01-07 18:04:20.616] [info]    [FILE] System.Reflection.Emit.ILGeneration.dll (16136 bytes)
[2026-01-07 18:04:20.616] [info]    [FILE] System.Reflection.Emit.Lightweight.dll (16136 bytes)
[2026-01-07 18:04:20.617] [info]    [FILE] System.Reflection.Extensions.dll (15624 bytes)
[2026-01-07 18:04:20.617] [info]    [FILE] System.Reflection.Metadata.dll (1063184 bytes)
[2026-01-07 18:04:20.618] [info]    [FILE] System.Reflection.Primitives.dll (16136 bytes)
[2026-01-07 18:04:20.618] [info]    [FILE] System.Reflection.TypeExtensions.dll (43272 bytes)
[2026-01-07 18:04:20.619] [info]    [FILE] System.Resources.Reader.dll (15672 bytes)
[2026-01-07 18:04:20.620] [info]    [FILE] System.Resources.ResourceManager.dll (16136 bytes)
[2026-01-07 18:04:20.620] [info]    [FILE] System.Resources.Writer.dll (51464 bytes)
[2026-01-07 18:04:20.621] [info]    [FILE] System.Runtime.CompilerServices.Unsafe.dll (15664 bytes)
[2026-01-07 18:04:20.621] [info]    [FILE] System.Runtime.CompilerServices.VisualC.dll (30992 bytes)
[2026-01-07 18:04:20.622] [info]    [FILE] System.Runtime.dll (43792 bytes)
[2026-01-07 18:04:20.623] [info]    [FILE] System.Runtime.Extensions.dll (18184 bytes)
