[2026-01-07 20:32:52.939] [info]    [FILE] System.Net.Http.dll (1575224 bytes)
[2026-01-07 20:32:52.940] [info]    [FILE] System.Net.Http.Json.dll (112904 bytes)
[2026-01-07 20:32:52.941] [info]    [FILE] System.Net.HttpListener.dll (493840 bytes)
[2026-01-07 20:32:52.941] [info]    [FILE] System.Net.Mail.dll (391472 bytes)
[2026-01-07 20:32:52.942] [info]    [FILE] System.Net.NameResolution.dll (100616 bytes)
[2026-01-07 20:32:52.943] [info]    [FILE] System.Net.NetworkInformation.dll (141576 bytes)
[2026-01-07 20:32:52.944] [info]    [FILE] System.Net.Ping.dll (84280 bytes)
[2026-01-07 20:32:52.945] [info]    [FILE] System.Net.Primitives.dll (211256 bytes)
[2026-01-07 20:32:52.946] [info]    [FILE] System.Net.Quic.dll (260360 bytes)
[2026-01-07 20:32:52.947] [info]    [FILE] System.Net.Requests.dll (321848 bytes)
[2026-01-07 20:32:52.948] [info]    [FILE] System.Net.Security.dll (604432 bytes)
[2026-01-07 20:32:52.949] [info]    [FILE] System.Net.ServicePoint.dll (43320 bytes)
[2026-01-07 20:32:52.950] [info]    [FILE] System.Net.Sockets.dll (481544 bytes)
[2026-01-07 20:32:52.951] [info]    [FILE] System.Net.WebClient.dll (149776 bytes)
[2026-01-07 20:32:52.951] [info]    [FILE] System.Net.WebHeaderCollection.dll (63752 bytes)
[2026-01-07 20:32:52.952] [info]    [FILE] System.Net.WebProxy.dll (43320 bytes)
[2026-01-07 20:32:52.953] [info]    [FILE] System.Net.WebSockets.Client.dll (92424 bytes)
[2026-01-07 20:32:52.954] [info]    [FILE] System.Net.WebSockets.dll (170288 bytes)
[2026-01-07 20:32:52.955] [info]    [FILE] System.Numerics.dll (15664 bytes)
[2026-01-07 20:32:52.955] [info]    [FILE] System.Numerics.Vectors.dll (16144 bytes)
[2026-01-07 20:32:52.956] [info]    [FILE] System.ObjectModel.dll (71984 bytes)
[2026-01-07 20:32:52.957] [info]    [FILE] System.Private.CoreLib.dll (12536072 bytes)
[2026-01-07 20:32:52.958] [info]    [FILE] System.Private.DataContractSerialization.dll (1927432 bytes)
[2026-01-07 20:32:52.959] [info]    [FILE] System.Private.Uri.dll (248080 bytes)
[2026-01-07 20:32:52.960] [info]    [FILE] System.Private.Xml.dll (7424264 bytes)
[2026-01-07 20:32:52.961] [info]    [FILE] System.Private.Xml.Linq.dll (366856 bytes)
[2026-01-07 20:32:52.962] [info]    [FILE] System.Reflection.DispatchProxy.dll (71944 bytes)
